system:index,classification,.geo
0_122,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3412004841886,23.69306561865238]}"
0_123,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38611624839459,23.69306561865238]}"
0_124,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43103201260055,23.69306561865238]}"
0_125,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47594777680654,23.69306561865238]}"
0_126,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5208635410125,23.69306561865238]}"
0_127,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56577930521848,23.69306561865238]}"
0_128,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.61069506942447,23.69306561865238]}"
0_129,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.65561083363043,23.69306561865238]}"
0_130,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.70052659783642,23.69306561865238]}"
0_131,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.74544236204238,23.69306561865238]}"
0_132,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.79035812624836,23.69306561865238]}"
0_133,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.83527389045435,23.69306561865238]}"
0_134,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.88018965466031,23.69306561865238]}"
0_135,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.9251054188663,23.69306561865238]}"
0_136,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.97002118307226,23.69306561865238]}"
0_137,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.01493694727824,23.69306561865238]}"
0_138,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.99372755800933,23.737981382858354]}"
0_139,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.0386433222153,23.737981382858354]}"
0_140,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.08355908642127,23.737981382858354]}"
0_141,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.12847485062726,23.737981382858354]}"
0_142,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.17339061483322,23.737981382858354]}"
0_143,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.2183063790392,23.737981382858354]}"
0_144,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.26322214324517,23.737981382858354]}"
0_145,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.30813790745115,23.737981382858354]}"
0_146,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.35305367165714,23.737981382858354]}"
0_147,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.3979694358631,23.737981382858354]}"
0_148,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44288520006909,23.737981382858354]}"
0_149,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.48780096427505,23.737981382858354]}"
0_150,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.53271672848103,23.737981382858354]}"
0_151,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.57763249268702,23.737981382858354]}"
0_152,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.62254825689298,23.737981382858354]}"
0_153,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.66746402109897,23.737981382858354]}"
0_154,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.71237978530493,23.737981382858354]}"
0_155,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.75729554951091,23.737981382858354]}"
0_156,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.8022113137169,23.737981382858354]}"
0_157,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.84712707792286,23.737981382858354]}"
0_158,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.89204284212884,23.737981382858354]}"
0_159,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.93695860633483,23.737981382858354]}"
0_160,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.9818743705408,23.737981382858354]}"
0_161,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.02679013474678,23.737981382858354]}"
0_162,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.07170589895274,23.737981382858354]}"
0_163,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.11662166315872,23.737981382858354]}"
0_164,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1615374273647,23.737981382858354]}"
0_165,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20645319157067,23.737981382858354]}"
0_166,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25136895577666,23.737981382858354]}"
0_167,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29628471998262,23.737981382858354]}"
0_168,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3412004841886,23.737981382858354]}"
0_169,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38611624839459,23.737981382858354]}"
0_170,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43103201260055,23.737981382858354]}"
0_171,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47594777680654,23.737981382858354]}"
0_172,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5208635410125,23.737981382858354]}"
0_173,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56577930521848,23.737981382858354]}"
0_174,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.61069506942447,23.737981382858354]}"
0_175,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.65561083363043,23.737981382858354]}"
0_176,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.70052659783642,23.737981382858354]}"
0_177,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.74544236204238,23.737981382858354]}"
0_178,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.79035812624836,23.737981382858354]}"
0_179,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.83527389045435,23.737981382858354]}"
0_180,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.88018965466031,23.737981382858354]}"
0_181,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.9251054188663,23.737981382858354]}"
0_182,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.97002118307226,23.737981382858354]}"
0_183,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.01493694727824,23.737981382858354]}"
0_184,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.99372755800933,23.782897147064332]}"
0_185,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.0386433222153,23.782897147064332]}"
0_186,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.08355908642127,23.782897147064332]}"
0_187,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.12847485062726,23.782897147064332]}"
0_188,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.17339061483322,23.782897147064332]}"
0_189,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.2183063790392,23.782897147064332]}"
0_190,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.26322214324517,23.782897147064332]}"
0_191,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.30813790745115,23.782897147064332]}"
0_192,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.35305367165714,23.782897147064332]}"
0_193,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.3979694358631,23.782897147064332]}"
0_194,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44288520006909,23.782897147064332]}"
0_195,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.48780096427505,23.782897147064332]}"
0_196,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.53271672848103,23.782897147064332]}"
0_197,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.57763249268702,23.782897147064332]}"
0_198,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.62254825689298,23.782897147064332]}"
0_199,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.66746402109897,23.782897147064332]}"
0_200,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.71237978530493,23.782897147064332]}"
0_201,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.75729554951091,23.782897147064332]}"
0_202,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.8022113137169,23.782897147064332]}"
0_203,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.84712707792286,23.782897147064332]}"
0_204,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.89204284212884,23.782897147064332]}"
0_205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.93695860633483,23.782897147064332]}"
0_206,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.9818743705408,23.782897147064332]}"
0_207,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.02679013474678,23.782897147064332]}"
0_208,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.07170589895274,23.782897147064332]}"
0_209,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.11662166315872,23.782897147064332]}"
0_210,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1615374273647,23.782897147064332]}"
0_211,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20645319157067,23.782897147064332]}"
0_212,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25136895577666,23.782897147064332]}"
0_213,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29628471998262,23.782897147064332]}"
0_214,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3412004841886,23.782897147064332]}"
0_215,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38611624839459,23.782897147064332]}"
0_216,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43103201260055,23.782897147064332]}"
