system:index,classification,.geo
0_165,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.35804764299338,16.01246993943047]}"
0_166,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40296340719937,16.01246993943047]}"
0_167,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.44787917140535,16.01246993943047]}"
0_168,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.4148165946679,16.057385703636445]}"
0_169,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.45973235887386,16.057385703636445]}"
0_170,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,16.057385703636445]}"
0_171,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,16.057385703636445]}"
0_172,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,16.057385703636445]}"
0_173,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.63939541569778,16.057385703636445]}"
0_174,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.68431117990374,16.057385703636445]}"
0_175,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72922694410973,16.057385703636445]}"
0_176,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.7741427083157,16.057385703636445]}"
0_177,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81905847252168,16.057385703636445]}"
0_178,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86397423672766,16.057385703636445]}"
0_179,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.90889000093362,16.057385703636445]}"
0_180,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9538057651396,16.057385703636445]}"
0_181,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.99872152934559,16.057385703636445]}"
0_182,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.04363729355155,16.057385703636445]}"
0_183,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.08855305775754,16.057385703636445]}"
0_184,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1334688219635,16.057385703636445]}"
0_185,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.17838458616949,16.057385703636445]}"
0_186,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.22330035037547,16.057385703636445]}"
0_187,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.26821611458143,16.057385703636445]}"
0_188,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.31313187878742,16.057385703636445]}"
0_189,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.35804764299338,16.057385703636445]}"
0_190,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40296340719937,16.057385703636445]}"
0_191,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.44787917140535,16.057385703636445]}"
0_192,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.36990083046192,16.102301467842423]}"
0_193,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.4148165946679,16.102301467842423]}"
0_194,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.45973235887386,16.102301467842423]}"
0_195,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,16.102301467842423]}"
0_196,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,16.102301467842423]}"
0_197,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,16.102301467842423]}"
0_198,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.63939541569778,16.102301467842423]}"
0_199,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.68431117990374,16.102301467842423]}"
0_200,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72922694410973,16.102301467842423]}"
0_201,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.7741427083157,16.102301467842423]}"
0_202,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81905847252168,16.102301467842423]}"
0_203,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86397423672766,16.102301467842423]}"
0_204,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.90889000093362,16.102301467842423]}"
0_205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9538057651396,16.102301467842423]}"
0_206,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.99872152934559,16.102301467842423]}"
0_207,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.04363729355155,16.102301467842423]}"
0_208,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.08855305775754,16.102301467842423]}"
0_209,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1334688219635,16.102301467842423]}"
0_210,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.17838458616949,16.102301467842423]}"
0_211,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.22330035037547,16.102301467842423]}"
0_212,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.26821611458143,16.102301467842423]}"
0_213,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.31313187878742,16.102301467842423]}"
0_214,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.35804764299338,16.102301467842423]}"
0_215,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40296340719937,16.102301467842423]}"
0_216,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.36990083046192,16.147217232048398]}"
0_217,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.4148165946679,16.147217232048398]}"
0_218,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.45973235887386,16.147217232048398]}"
0_219,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,16.147217232048398]}"
